               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.037333,            0.055572,          0.00042816,             0.93102,             0.89248,             0.94155,              0.6112,             0.03554,            0.057291,            0.001212,            0.002146,            0.002146,            0.002146
                 121,            0.037034,            0.056336,          0.00038494,             0.93117,             0.89244,             0.94086,             0.61084,            0.035538,            0.057307,           0.0012354,             0.00208,             0.00208,             0.00208
                 122,             0.03721,            0.055596,          0.00039238,             0.93065,             0.89204,              0.9407,             0.60985,            0.035538,            0.057329,           0.0012438,            0.002014,            0.002014,            0.002014
                 123,             0.03746,            0.057585,          0.00039319,             0.93114,             0.89335,             0.94033,              0.6095,             0.03553,            0.057339,           0.0012544,            0.001948,            0.001948,            0.001948
                 124,            0.037224,            0.056172,          0.00038269,             0.92806,             0.89475,              0.9398,             0.61018,            0.035525,            0.057364,            0.001254,            0.001882,            0.001882,            0.001882
                 125,            0.037195,            0.055901,          0.00041998,              0.9277,             0.89385,             0.94012,             0.61078,            0.035518,            0.057379,            0.001257,            0.001816,            0.001816,            0.001816
                 126,            0.037221,            0.056683,          0.00038333,             0.92728,             0.89584,             0.93981,             0.61063,            0.035518,            0.057376,           0.0012628,             0.00175,             0.00175,             0.00175
                 127,              0.0371,            0.055835,          0.00042687,             0.92279,             0.89955,             0.93993,             0.61057,            0.035512,            0.057385,           0.0012715,            0.001684,            0.001684,            0.001684
                 128,            0.037088,            0.056542,          0.00038428,             0.92493,             0.89755,             0.93995,             0.61049,            0.035504,            0.057385,           0.0012748,            0.001618,            0.001618,            0.001618
                 129,            0.036797,             0.05568,           0.0004123,             0.92456,               0.898,             0.93956,             0.61032,            0.035508,            0.057387,           0.0012776,            0.001552,            0.001552,            0.001552
                 130,            0.037212,            0.056444,          0.00038971,             0.92408,             0.89695,             0.93984,             0.61052,            0.035506,            0.057391,           0.0012795,            0.001486,            0.001486,            0.001486
                 131,             0.03707,            0.056263,          0.00035437,             0.92659,             0.89628,             0.93902,             0.61062,              0.0355,            0.057396,           0.0012799,             0.00142,             0.00142,             0.00142
                 132,            0.037055,            0.055848,          0.00035945,             0.92363,              0.8984,             0.93883,             0.61104,            0.035494,            0.057403,           0.0012867,            0.001354,            0.001354,            0.001354
                 133,            0.036867,            0.056206,          0.00035129,             0.92151,             0.89928,             0.93863,             0.61086,            0.035491,            0.057406,           0.0012942,            0.001288,            0.001288,            0.001288
                 134,             0.03679,            0.054406,          0.00040611,             0.92281,             0.90023,             0.93921,             0.61064,            0.035487,            0.057402,           0.0012994,            0.001222,            0.001222,            0.001222
                 135,            0.037106,            0.055519,          0.00037172,             0.92253,              0.9004,             0.93926,             0.61003,            0.035487,            0.057405,           0.0013049,            0.001156,            0.001156,            0.001156
                 136,            0.036735,            0.054983,          0.00034203,             0.92145,             0.90114,             0.94022,             0.61073,            0.035486,            0.057414,           0.0013096,             0.00109,             0.00109,             0.00109
                 137,            0.036587,            0.055782,          0.00034671,             0.92196,             0.90259,             0.94002,             0.61056,            0.035489,            0.057425,           0.0013131,            0.001024,            0.001024,            0.001024
                 138,            0.036883,            0.056054,          0.00034311,             0.92248,             0.90267,              0.9401,             0.61067,            0.035493,            0.057448,            0.001313,            0.000958,            0.000958,            0.000958
                 139,            0.036684,            0.054938,          0.00034863,             0.92333,             0.90245,             0.94018,             0.61103,            0.035496,            0.057427,           0.0013157,            0.000892,            0.000892,            0.000892
                 140,            0.036527,            0.055182,          0.00034196,             0.92383,             0.90107,             0.94001,             0.61058,            0.035498,            0.057443,           0.0013166,            0.000826,            0.000826,            0.000826
                 141,            0.036363,            0.055082,          0.00032895,             0.92435,             0.90105,             0.94026,             0.61139,              0.0355,            0.057453,           0.0013183,             0.00076,             0.00076,             0.00076
                 142,            0.036343,             0.05497,          0.00031781,             0.92464,             0.90099,             0.94028,             0.61116,            0.035502,            0.057452,           0.0013219,            0.000694,            0.000694,            0.000694
                 143,            0.036703,            0.055918,          0.00030915,             0.92441,             0.90104,             0.94048,             0.61121,            0.035503,            0.057469,           0.0013254,            0.000628,            0.000628,            0.000628
                 144,            0.036388,            0.053936,          0.00033532,              0.9232,             0.90133,             0.94052,              0.6111,            0.035508,            0.057478,           0.0013282,            0.000562,            0.000562,            0.000562
                 145,            0.036504,            0.055581,          0.00034761,             0.92415,              0.9012,              0.9407,             0.61115,             0.03551,            0.057481,           0.0013302,            0.000496,            0.000496,            0.000496
                 146,            0.036712,            0.055519,          0.00030449,               0.926,             0.89833,             0.94043,              0.6114,            0.035513,            0.057476,           0.0013322,             0.00043,             0.00043,             0.00043
                 147,            0.036509,            0.054865,          0.00031128,             0.92669,             0.89774,             0.94041,             0.61106,            0.035514,             0.05749,           0.0013358,            0.000364,            0.000364,            0.000364
                 148,            0.036338,            0.054945,          0.00031246,             0.92614,             0.89774,             0.94036,             0.61138,            0.035516,            0.057502,            0.001337,            0.000298,            0.000298,            0.000298
                 149,            0.036443,            0.055566,          0.00030475,             0.92752,             0.89711,             0.94056,             0.61158,            0.035519,            0.057516,           0.0013372,            0.000232,            0.000232,            0.000232
